id,name,is_main,region_id,name
1,Москва,1,1,Москва и Московская область
2,Абрамцево,0,1,Москва и Московская область
3,Алабино,0,1,Москва и Московская область
4,Апрелевка,0,1,Москва и Московская область
5,Архангельское,0,1,Москва и Московская область
6,Ашитково,0,1,Москва и Московская область
7,Байконур,0,1,Москва и Московская область
8,Бакшеево,0,1,Москва и Московская область
9,Балашиха,1,1,Москва и Московская область
10,Барыбино,0,1,Москва и Московская область
11,Белозёрский,0,1,Москва и Московская область
12,Белоомут,0,1,Москва и Московская область
13,Белые Столбы,0,1,Москва и Московская область
14,Бородино,0,1,Москва и Московская область
15,Бронницы,0,1,Москва и Московская область
16,Быково,0,1,Москва и Московская область
17,Валуево,0,1,Москва и Московская область
18,Вербилки,0,1,Москва и Московская область
19,Верея,0,1,Москва и Московская область
20,Видное,0,1,Москва и Московская область
21,Внуково,0,1,Москва и Московская область
22,Вождь Пролетариата,0,1,Москва и Московская область
23,Волоколамск,0,1,Москва и Московская область
24,Вороново,0,1,Москва и Московская область
25,Воскресенск,1,1,Москва и Московская область
26,Восточный,0,1,Москва и Московская область
27,Востряково,0,1,Москва и Московская область
28,Высоковск,0,1,Москва и Московская область
29,Голицыно,0,1,Москва и Московская область
30,Деденево,0,1,Москва и Московская область
31,Дедовск,0,1,Москва и Московская область
32,Дзержинский,0,1,Москва и Московская область
33,Дмитров,1,1,Москва и Московская область
34,Долгопрудный,0,1,Москва и Московская область
35,Домодедово,1,1,Москва и Московская область
36,Дорохово,0,1,Москва и Московская область
37,Дрезна,0,1,Москва и Московская область
38,Дубки,0,1,Москва и Московская область
39,Дубна,0,1,Москва и Московская область
40,Егорьевск,0,1,Москва и Московская область
41,Железнодорожный,0,1,Москва и Московская область
42,Жилево,0,1,Москва и Московская область
43,Жуковка,0,1,Москва и Московская область
44,Жуковский,0,1,Москва и Московская область
45,Загорск,0,1,Москва и Московская область
46,Загорянский,0,1,Москва и Московская область
47,Запрудная,0,1,Москва и Московская область
48,Зарайск,0,1,Москва и Московская область
49,Звенигород,0,1,Москва и Московская область
50,Зеленоград,1,1,Москва и Московская область
51,Ивантеевка,0,1,Москва и Московская область
52,Икша,0,1,Москва и Московская область
53,Ильинский,0,1,Москва и Московская область
54,Истра,0,1,Москва и Московская область
55,Калининец,0,1,Москва и Московская область
56,Кашира,0,1,Москва и Московская область
57,Керва,0,1,Москва и Московская область
58,Климовск,0,1,Москва и Московская область
59,Клин,1,1,Москва и Московская область
60,Клязьма,0,1,Москва и Московская область
61,Кожино,0,1,Москва и Московская область
62,Кокошкино,0,1,Москва и Московская область
63,Коломна,1,1,Москва и Московская область
64,Колюбакино,0,1,Москва и Московская область
65,Королев,0,1,Москва и Московская область
66,Косино,0,1,Москва и Московская область
67,Котельники,0,1,Москва и Московская область
68,Красково,0,1,Москва и Московская область
69,Красноармейск,0,1,Москва и Московская область
70,Красногорск,1,1,Москва и Московская область
71,Краснозаводск,0,1,Москва и Московская область
72,Краснознаменск,0,1,Москва и Московская область
73,Красный Ткач,0,1,Москва и Московская область
74,Крюково,0,1,Москва и Московская область
75,Кубинка,0,1,Москва и Московская область
76,Купавна,0,1,Москва и Московская область
77,Куровское,0,1,Москва и Московская область
78,Лесной Городок,0,1,Москва и Московская область
79,Ликино-Дулево,0,1,Москва и Московская область
80,Лобня,0,1,Москва и Московская область
81,Лопатинский,0,1,Москва и Московская область
82,Лосино-Петровский,0,1,Москва и Московская область
83,Лотошино,0,1,Москва и Московская область
84,Лукино,0,1,Москва и Московская область
85,Луховицы,0,1,Москва и Московская область
86,Лыткарино,0,1,Москва и Московская область
87,Львовский,0,1,Москва и Московская область
88,Люберцы,0,1,Москва и Московская область
89,Малаховка,0,1,Москва и Московская область
90,Михайловское,0,1,Москва и Московская область
91,Михнево,0,1,Москва и Московская область
92,Можайск,0,1,Москва и Московская область
93,Монино,0,1,Москва и Московская область
94,Московский,0,1,Москва и Московская область
95,Муханово,0,1,Москва и Московская область
96,Мытищи,1,1,Москва и Московская область
97,Наро-Фоминск,0,1,Москва и Московская область
98,Нахабино,0,1,Москва и Московская область
99,Некрасовка,0,1,Москва и Московская область
100,Немчиновка,0,1,Москва и Московская область
101,Новобратцевский,0,1,Москва и Московская область
102,Новоподрезково,0,1,Москва и Московская область
103,Ногинск,1,1,Москва и Московская область
104,Обухово,0,1,Москва и Московская область
105,Одинцово,1,1,Москва и Московская область
106,Ожерелье,0,1,Москва и Московская область
107,Озеры,0,1,Москва и Московская область
108,Октябрьский,0,1,Москва и Московская область
109,Опалиха,0,1,Москва и Московская область
110,Орехово-Зуево,1,1,Москва и Московская область
111,Павловский Посад,0,1,Москва и Московская область
112,Первомайский,0,1,Москва и Московская область
113,Пески,0,1,Москва и Московская область
114,Пироговский,0,1,Москва и Московская область
115,Подольск,1,1,Москва и Московская область
116,Полушкино,0,1,Москва и Московская область
117,Правдинский,0,1,Москва и Московская область
118,Привокзальный,0,1,Москва и Московская область
119,Пролетарский,0,1,Москва и Московская область
120,Протвино,0,1,Москва и Московская область
121,Пушкино,1,1,Москва и Московская область
122,Пущино,0,1,Москва и Московская область
123,Раменское,0,1,Москва и Московская область
124,Реутов,0,1,Москва и Московская область
125,Решетниково,0,1,Москва и Московская область
126,Родники,0,1,Москва и Московская область
127,Рошаль,0,1,Москва и Московская область
128,Рублево,0,1,Москва и Московская область
129,Руза,0,1,Москва и Московская область
130,Салтыковка,0,1,Москва и Московская область
131,Северный,0,1,Москва и Московская область
132,Сергиев Посад,1,1,Москва и Московская область
133,Серебряные Пруды,0,1,Москва и Московская область
134,Серпухов,1,1,Москва и Московская область
135,Солнечногорск,1,1,Москва и Московская область
136,Солнцево,0,1,Москва и Московская область
137,Софрино,0,1,Москва и Московская область
138,Старая Купавна,0,1,Москва и Московская область
139,Старбеево,0,1,Москва и Московская область
140,Ступино,1,1,Москва и Московская область
141,Сходня,0,1,Москва и Московская область
142,Талдом,0,1,Москва и Московская область
143,Текстильщик,0,1,Москва и Московская область
144,Темпы,0,1,Москва и Московская область
145,Томилино,1,1,Москва и Московская область
146,Троицк,0,1,Москва и Московская область
147,Туголесский Бор,0,1,Москва и Московская область
148,Тучково,0,1,Москва и Московская область
149,Уваровка,0,1,Москва и Московская область
150,Удельная,0,1,Москва и Московская область
151,Успенское,0,1,Москва и Московская область
152,Фирсановка,0,1,Москва и Московская область
153,Фрязино,0,1,Москва и Московская область
154,Фряново,0,1,Москва и Московская область
155,Химки,0,1,Москва и Московская область
156,Хотьково,0,1,Москва и Московская область
157,Черкизово,0,1,Москва и Московская область
158,Черноголовка,0,1,Москва и Московская область
159,Черусти,0,1,Москва и Московская область
160,Чехов,1,1,Москва и Московская область
161,Шарапово,0,1,Москва и Московская область
162,Шатура,0,1,Москва и Московская область
163,Шатурторф,0,1,Москва и Московская область
164,Шаховская,0,1,Москва и Московская область
165,Шереметьевский,0,1,Москва и Московская область
166,Щелково,0,1,Москва и Московская область
167,Щербинка,0,1,Москва и Московская область
168,Электрогорск,0,1,Москва и Московская область
169,Электросталь,0,1,Москва и Московская область
170,Электроугли,0,1,Москва и Московская область
171,Юбилейный,0,1,Москва и Московская область
172,Яхрома,0,1,Москва и Московская область
173,Санкт-Петербург,1,2,Санкт-Петербург и Ленинградская область
174,Александровская,0,2,Санкт-Петербург и Ленинградская область
175,Бокситогорск,0,2,Санкт-Петербург и Ленинградская область
176,Большая Ижора,0,2,Санкт-Петербург и Ленинградская область
177,Будогощь,0,2,Санкт-Петербург и Ленинградская область
178,Вознесенье,0,2,Санкт-Петербург и Ленинградская область
179,Волосово,0,2,Санкт-Петербург и Ленинградская область
180,Волхов,0,2,Санкт-Петербург и Ленинградская область
181,Всеволожск,1,2,Санкт-Петербург и Ленинградская область
182,Выборг,1,2,Санкт-Петербург и Ленинградская область
183,Вырица,0,2,Санкт-Петербург и Ленинградская область
184,Высоцк,0,2,Санкт-Петербург и Ленинградская область
185,Гатчина,1,2,Санкт-Петербург и Ленинградская область
186,Дружная Горка,0,2,Санкт-Петербург и Ленинградская область
187,Дубровка,0,2,Санкт-Петербург и Ленинградская область
188,Ефимовский,0,2,Санкт-Петербург и Ленинградская область
189,Зеленогорск,0,2,Санкт-Петербург и Ленинградская область
190,Ивангород,0,2,Санкт-Петербург и Ленинградская область
191,Каменногорск,0,2,Санкт-Петербург и Ленинградская область
192,Кикерино,0,2,Санкт-Петербург и Ленинградская область
193,Кингисепп,0,2,Санкт-Петербург и Ленинградская область
194,Кириши,0,2,Санкт-Петербург и Ленинградская область
195,Кировск,0,2,Санкт-Петербург и Ленинградская область
196,Кобринское,0,2,Санкт-Петербург и Ленинградская область
197,Колпино,1,2,Санкт-Петербург и Ленинградская область
198,Коммунар,0,2,Санкт-Петербург и Ленинградская область
199,Коммунар,0,2,Санкт-Петербург и Ленинградская область
200,Кронштадт,0,2,Санкт-Петербург и Ленинградская область
201,Лисий Нос,0,2,Санкт-Петербург и Ленинградская область
202,Лодейное Поле,0,2,Санкт-Петербург и Ленинградская область
203,Ломоносов,0,2,Санкт-Петербург и Ленинградская область
204,Луга,0,2,Санкт-Петербург и Ленинградская область
205,Павловск,0,2,Санкт-Петербург и Ленинградская область
206,Парголово,0,2,Санкт-Петербург и Ленинградская область
207,Петродворец,0,2,Санкт-Петербург и Ленинградская область
208,Пикалёво,0,2,Санкт-Петербург и Ленинградская область
209,Подпорожье,0,2,Санкт-Петербург и Ленинградская область
210,Приозерск,0,2,Санкт-Петербург и Ленинградская область
211,Пушкин,1,2,Санкт-Петербург и Ленинградская область
212,Светогорск,0,2,Санкт-Петербург и Ленинградская область
213,Сертолово,0,2,Санкт-Петербург и Ленинградская область
214,Сестрорецк,0,2,Санкт-Петербург и Ленинградская область
215,Сланцы,0,2,Санкт-Петербург и Ленинградская область
216,Сосновый Бор,1,2,Санкт-Петербург и Ленинградская область
217,Тихвин,0,2,Санкт-Петербург и Ленинградская область
218,Тосно,0,2,Санкт-Петербург и Ленинградская область
219,Шлиссельбург,0,2,Санкт-Петербург и Ленинградская область
220,Адыгейск,0,3,Республика Адыгея
221,Майкоп,0,3,Республика Адыгея
222,Акташ,0,4,Алтайский край
223,Акутиха,0,4,Алтайский край
224,Алейск,0,4,Алтайский край
225,Алтайский,0,4,Алтайский край
226,Баево,0,4,Алтайский край
227,Барнаул,1,4,Алтайский край
228,Белово,0,4,Алтайский край
229,Белокуриха,0,4,Алтайский край
230,Белоярск,0,4,Алтайский край
231,Бийск,1,4,Алтайский край
232,Благовещенск,1,4,Алтайский край
233,Боровлянка,0,4,Алтайский край
234,Бурла,0,4,Алтайский край
235,Бурсоль,0,4,Алтайский край
236,Быстрый Исток,0,4,Алтайский край
237,Волчиха,0,4,Алтайский край
238,Горняк,0,4,Алтайский край
239,Ельцовка,0,4,Алтайский край
240,Залесово,0,4,Алтайский край
241,Заринск,0,4,Алтайский край
242,Заток,0,4,Алтайский край
243,Змеиногорск,0,4,Алтайский край
244,Камень-на-Оби,0,4,Алтайский край
245,Ключи,0,4,Алтайский край
246,Кош-Агач,0,4,Алтайский край
247,Красногорское,0,4,Алтайский край
248,Краснощеково,0,4,Алтайский край
249,Кулунда,0,4,Алтайский край
250,Кытманово,0,4,Алтайский край
251,Мамонтово,0,4,Алтайский край
252,Новичиха,0,4,Алтайский край
253,Новоалтайск,0,4,Алтайский край
254,Онгудай,0,4,Алтайский край
255,Павловск,0,4,Алтайский край
256,Петропавловское,0,4,Алтайский край
257,Поспелиха,0,4,Алтайский край
258,Ребриха,0,4,Алтайский край
259,Родино,0,4,Алтайский край
260,Рубцовск,1,4,Алтайский край
261,Славгород,0,4,Алтайский край
262,Смоленское,0,4,Алтайский край
263,Солонешное,0,4,Алтайский край
264,Солтон,0,4,Алтайский край
265,Староаллейское,0,4,Алтайский край
266,Табуны,0,4,Алтайский край
267,Тальменка,0,4,Алтайский край
268,Тогул,0,4,Алтайский край
269,Топчиха,0,4,Алтайский край
270,Троицкое,0,4,Алтайский край
271,Турочак,0,4,Алтайский край
272,Тюменцево,0,4,Алтайский край
273,Угловское,0,4,Алтайский край
274,Усть-Калманка,0,4,Алтайский край
275,Усть-Кан,0,4,Алтайский край
276,Усть-Кокса,0,4,Алтайский край
277,Усть-Улаган,0,4,Алтайский край
278,Усть-Чарышская Пристань,0,4,Алтайский край
279,Хабары,0,4,Алтайский край
280,Целинное,0,4,Алтайский край
281,Чарышское,0,4,Алтайский край
282,Шебалино,0,4,Алтайский край
283,Шелаболиха,0,4,Алтайский край
284,Шипуново,0,4,Алтайский край
285,Горно-Алтайск,1,81,Республика Алтай
286,Айгунь,0,5,Амурская область
